GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,,,,#indicator+value+num,,,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,RUR,Rural,,,,,,,,23.2 [20.9-25.6],23.17581,20.92832,25.58656,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,URB,Urban,,,,,,,,55.2 [49.2-61.0],55.17063,49.15291,61.04066,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199301,01 barishal,,25.7 [19.1-33.7],25.72528,19.06449,33.74301,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199302,02 chittagong,,24.5 [20.2-29.3],24.47430,20.22747,29.28543,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199303,03 dhaka,,33.1 [29.4-37.1],33.14717,29.39161,37.13025,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199304,04 khulna,,26.3 [19.8-34.0],26.28774,19.82322,33.96727,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,17.2 [14.2-20.6],17.17842,14.20881,20.61950,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,29.4 [25.4-33.7],29.35568,25.35617,33.70121,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,SHLM,Secondary or higher,,,,,,,,,,,,,,59.4 [54.8-63.9],59.40892,54.78763,63.86935,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199305,05 rajshani,,19.6 [16.3-23.4],19.58691,16.26194,23.40173,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,NHLM,None,,,,,,,,,,,,,,17.2 [15.3-19.3],17.17790,15.27260,19.26685,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,13.0 [10.7-15.7],13.03217,10.74208,15.72447,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,22.5 [19.1-26.2],22.45102,19.10107,26.19821,,,
